CLASIFICACION	PRODUCTO	Cantidad (g)	Calorias USDA	Proteina (g)	Grasa (g)	Carbohidrato (g)	Fibra (g)	Sodio (mg)	Calorias Proteina	Calorias Grasa	Calorias Carbohidratos	Total Calorias	Total Calorias Sin Fibra
LACTEOS - GRASAS	QUESO COTTAGE	 100,0 	103,0	11,6	4,2	4,6	0,0	350,0	46,4	38,0	18,4	102,8	102,8
LACTEOS - GRASAS	QUESO CREMA FINESSE	 100,0 	208,0	7,9	16,7	6,7	0,0	317,0	31,4	150,3	26,9	208,6	208,6
LACTEOS - GRASAS	QUESO FETA	 100,0 	273,0	19,7	19,1	5,6	0,0	1030,0	78,8	171,9	22,3	273,0	273,0
LACTEOS - GRASAS	QUESO GOUDA	 100,0 	356,0	24,9	27,4	2,2	0,0	819,0	99,6	246,6	8,9	355,1	355,1
LACTEOS - GRASAS	QUESO MOSARELLA FINESSE	 100,0 	141,0	31,7	0,0	3,5	1,8	743,0	126,8	0,0	14,0	140,8	137,2
LACTEOS - GRASAS	QUESO MOZARELLA ENTERO	 100,0 	299,0	22,2	22,1	2,4	0,0	486,0	88,8	198,9	9,6	297,3	297,3
LACTEOS - GRASAS	QUESO MOZARELLA TAJADO	 100,0 	299,0	22,2	22,1	2,4	0,0	486,0	88,8	198,9	9,6	297,3	297,3
LACTEOS - GRASAS	QUESO PARMESANO	 100,0 	392,0	35,8	25,0	3,2	0,0	1180,0	143,2	225,0	12,9	381,1	381,1
LACTEOS - GRASAS	QUESO RICOTTA	 100,0 	150,0	7,5	10,2	7,3	0,0	110,0	30,2	91,8	29,1	151,0	151,0
LACTEOS - GRASAS	QUESO TOFU NATURAL APETEI	 100,0 	167,0	16,7	6,7	3,3	0,0	500,0	66,8	60,3	13,2	140,3	140,3
LEGUMBRES - CARBOHIDRATOS	ARVEJA ENLATADA	 100,0 	71,0	4,3	1,0	11,8	4,1	231,0	17,3	8,6	47,2	73,1	64,9
LEGUMBRES - CARBOHIDRATOS	FRIJOL CABECITA NEGRA	 100,0 	333,0	23,8	1,2	59,5	9,5	12,0	95,2	10,7	238,0	343,9	324,9
LEGUMBRES - CARBOHIDRATOS	GARBANZO	 100,0 	383,0	21,3	6,3	60,4	0,0	9,0	85,2	56,4	241,6	383,2	383,2
LEGUMBRES - CARBOHIDRATOS	GARBANZO EN LATA	 100,0 	137,0	7,0	3,1	20,3	5,9	202,0	28,1	27,9	81,2	137,2	125,3
LEGUMBRES - CARBOHIDRATOS	LENTEJAS	 100,0 	360,0	23,6	1,9	62,2	0,0	2,4	94,4	17,3	248,8	360,5	360,5
PROTEINA - CERDO	CARNE DE CERDO - LOMO 	 100,0 	168,0	21,1	9,5	0,0	0,0	40,0	84,4	85,2	0,0	169,6	169,6
